day-month,sunrise,noon,Sunset
01-01,6:25 AM,11:41 AM,4:57 PM
02-01,6:25 AM,11:41 AM,4:57 PM
03-01,6:25 AM,11:42 AM,4:58 PM
04-01,6:26 AM,11:42 AM,4:58 PM
05-01,6:26 AM,11:42 AM,4:59 PM
06-01,6:26 AM,11:43 AM,5:00 PM
07-01,6:26 AM,11:43 AM,5:01 PM
08-01,6:26 AM,11:44 AM,5:01 PM
09-01,6:26 AM,11:44 AM,5:02 PM
10-01,6:26 AM,11:45 AM,5:03 PM
11-01,6:26 AM,11:45 AM,5:03 PM
12-01,6:26 AM,11:45 AM,5:04 PM
13-01,6:27 AM,11:46 AM,5:05 PM
14-01,6:26 AM,11:46 AM,5:06 PM
15-01,6:26 AM,11:46 AM,5:06 PM
16-01,6:26 AM,11:47 AM,5:07 PM
17-01,6:26 AM,11:47 AM,5:08 PM
18-01,6:26 AM,11:47 AM,5:09 PM
19-01,6:26 AM,11:48 AM,5:10 PM
20-01,6:26 AM,11:48 AM,5:10 PM
21-01,6:26 AM,11:48 AM,5:11 PM
22-01,6:25 AM,11:49 AM,5:12 PM
23-01,6:25 AM,11:49 AM,5:13 PM
24-01,6:25 AM,11:49 AM,5:13 PM
25-01,6:25 AM,11:49 AM,5:14 PM
26-01,6:24 AM,11:50 AM,5:15 PM
27-01,6:24 AM,11:50 AM,5:16 PM
28-01,6:24 AM,11:50 AM,5:17 PM
29-01,6:23 AM,11:50 AM,5:17 PM
30-01,6:23 AM,11:51 AM,5:18 PM
31-01,6:23 AM,11:51 AM,5:19 PM
01-02,6:22 AM,11:51 AM,5:20 PM
02-02,6:22 AM,11:51 AM,5:20 PM
03-02,6:21 AM,11:51 AM,5:21 PM
04-02,6:21 AM,11:51 AM,5:22 PM
05-02,6:20 AM,11:51 AM,5:23 PM
06-02,6:20 AM,11:52 AM,5:24 PM
07-02,6:19 AM,11:52 AM,5:24 PM
08-02,6:18 AM,11:52 AM,5:25 PM
09-02,6:18 AM,11:52 AM,5:26 PM
10-02,6:17 AM,11:52 AM,5:26 PM
11-02,6:17 AM,11:52 AM,5:27 PM
12-02,6:16 AM,11:52 AM,5:28 PM
13-02,6:15 AM,11:52 AM,5:29 PM
14-02,6:15 AM,11:52 AM,5:29 PM
15-02,6:14 AM,11:52 AM,5:30 PM
16-02,6:13 AM,11:52 AM,5:31 PM
17-02,6:12 AM,11:52 AM,5:31 PM
18-02,6:12 AM,11:52 AM,5:32 PM
19-02,6:11 AM,11:52 AM,5:33 PM
20-02,6:10 AM,11:52 AM,5:33 PM
21-02,6:09 AM,11:52 AM,5:34 PM
22-02,6:08 AM,11:51 AM,5:35 PM
23-02,6:07 AM,11:51 AM,5:35 PM
24-02,6:07 AM,11:51 AM,5:36 PM
25-02,6:06 AM,11:51 AM,5:37 PM
26-02,6:05 AM,11:51 AM,5:37 PM
27-02,6:04 AM,11:51 AM,5:38 PM
28-02,6:03 AM,11:51 AM,5:38 PM
01-03,6:02 AM,11:51 AM,5:39 PM
02-03,6:01 AM,11:50 AM,5:39 PM
03-03,6:00 AM,11:50 AM,5:40 PM
04-03,5:59 AM,11:50 AM,5:41 PM
05-03,5:58 AM,11:50 AM,5:41 PM
06-03,5:57 AM,11:50 AM,5:42 PM
07-03,5:56 AM,11:49 AM,5:42 PM
08-03,5:55 AM,11:49 AM,5:43 PM
09-03,5:54 AM,11:49 AM,5:43 PM
10-03,5:53 AM,11:49 AM,5:44 PM
11-03,5:52 AM,11:48 AM,5:44 PM
12-03,5:51 AM,11:48 AM,5:45 PM
13-03,5:50 AM,11:48 AM,5:45 PM
14-03,5:49 AM,11:47 AM,5:46 PM
15-03,5:48 AM,11:47 AM,5:46 PM
16-03,5:47 AM,11:47 AM,5:47 PM
17-03,5:46 AM,11:47 AM,5:47 PM
18-03,5:45 AM,11:46 AM,5:48 PM
19-03,5:44 AM,11:46 AM,5:48 PM
20-03,5:43 AM,11:46 AM,5:49 PM
21-03,5:42 AM,11:45 AM,5:49 PM
22-03,5:40 AM,11:45 AM,5:50 PM
23-03,5:39 AM,11:45 AM,5:50 PM
24-03,5:38 AM,11:44 AM,5:51 PM
25-03,5:37 AM,11:44 AM,5:51 PM
26-03,5:36 AM,11:44 AM,5:52 PM
27-03,5:35 AM,11:44 AM,5:52 PM
28-03,5:34 AM,11:43 AM,5:53 PM
29-03,5:33 AM,11:43 AM,5:53 PM
30-03,5:32 AM,11:43 AM,5:53 PM
31-03,5:31 AM,11:42 AM,5:54 PM
01-04,5:30 AM,11:42 AM,5:54 PM
02-04,5:28 AM,11:42 AM,5:55 PM
03-04,5:27 AM,11:41 AM,5:55 PM
04-04,5:26 AM,11:41 AM,5:56 PM
05-04,5:25 AM,11:41 AM,5:56 PM
06-04,5:24 AM,11:40 AM,5:57 PM
07-04,5:23 AM,11:40 AM,5:57 PM
08-04,5:22 AM,11:40 AM,5:57 PM
09-04,5:21 AM,11:39 AM,5:58 PM
10-04,5:20 AM,11:39 AM,5:58 PM
11-04,5:19 AM,11:39 AM,5:59 PM
12-04,5:18 AM,11:39 AM,5:59 PM
13-04,5:17 AM,11:38 AM,6:00 PM
14-04,5:16 AM,11:38 AM,6:00 PM
15-04,5:15 AM,11:38 AM,6:01 PM
16-04,5:14 AM,11:38 AM,6:01 PM
17-04,5:13 AM,11:37 AM,6:02 PM
18-04,5:12 AM,11:37 AM,6:02 PM
19-04,5:11 AM,11:37 AM,6:03 PM
20-04,5:10 AM,11:37 AM,6:03 PM
21-04,5:09 AM,11:36 AM,6:04 PM
22-04,5:08 AM,11:36 AM,6:04 PM
23-04,5:07 AM,11:36 AM,6:05 PM
24-04,5:06 AM,11:36 AM,6:05 PM
25-04,5:06 AM,11:36 AM,6:06 PM
26-04,5:05 AM,11:35 AM,6:06 PM
27-04,5:04 AM,11:35 AM,6:07 PM
28-04,5:03 AM,11:35 AM,6:07 PM
29-04,5:02 AM,11:35 AM,6:08 PM
30-04,5:01 AM,11:35 AM,6:08 PM
01-05,5:01 AM,11:35 AM,6:09 PM
02-05,5:00 AM,11:34 AM,6:09 PM
03-05,4:59 AM,11:34 AM,6:10 PM
04-05,4:58 AM,11:34 AM,6:10 PM
05-05,4:58 AM,11:34 AM,6:11 PM
06-05,4:57 AM,11:34 AM,6:11 PM
07-05,4:56 AM,11:34 AM,6:12 PM
08-05,4:55 AM,11:34 AM,6:12 PM
09-05,4:55 AM,11:34 AM,6:13 PM
10-05,4:54 AM,11:34 AM,6:14 PM
11-05,4:54 AM,11:34 AM,6:14 PM
12-05,4:53 AM,11:34 AM,6:15 PM
13-05,4:52 AM,11:34 AM,6:15 PM
14-05,4:52 AM,11:34 AM,6:16 PM
15-05,4:51 AM,11:34 AM,6:16 PM
16-05,4:51 AM,11:34 AM,6:17 PM
17-05,4:50 AM,11:34 AM,6:17 PM
18-05,4:50 AM,11:34 AM,6:18 PM
19-05,4:49 AM,11:34 AM,6:18 PM
20-05,4:49 AM,11:34 AM,6:19 PM
21-05,4:48 AM,11:34 AM,6:20 PM
22-05,4:48 AM,11:34 AM,6:20 PM
23-05,4:48 AM,11:34 AM,6:21 PM
24-05,4:47 AM,11:34 AM,6:21 PM
25-05,4:47 AM,11:34 AM,6:22 PM
26-05,4:47 AM,11:34 AM,6:22 PM
27-05,4:46 AM,11:34 AM,6:23 PM
28-05,4:46 AM,11:35 AM,6:23 PM
29-05,4:46 AM,11:35 AM,6:24 PM
30-05,4:46 AM,11:35 AM,6:24 PM
31-05,4:45 AM,11:35 AM,6:25 PM
01-06,4:45 AM,11:35 AM,6:25 PM
02-06,4:45 AM,11:35 AM,6:26 PM
03-06,4:45 AM,11:35 AM,6:26 PM
04-06,4:45 AM,11:36 AM,6:27 PM
05-06,4:45 AM,11:36 AM,6:27 PM
06-06,4:45 AM,11:36 AM,6:27 PM
07-06,4:44 AM,11:36 AM,6:28 PM
08-06,4:44 AM,11:36 AM,6:28 PM
09-06,4:44 AM,11:37 AM,6:29 PM
10-06,4:44 AM,11:37 AM,6:29 PM
11-06,4:44 AM,11:37 AM,6:29 PM
12-06,4:44 AM,11:37 AM,6:30 PM
13-06,4:44 AM,11:37 AM,6:30 PM
14-06,4:45 AM,11:38 AM,6:31 PM
15-06,4:45 AM,11:38 AM,6:31 PM
16-06,4:45 AM,11:38 AM,6:31 PM
17-06,4:45 AM,11:38 AM,6:32 PM
18-06,4:45 AM,11:38 AM,6:32 PM
19-06,4:45 AM,11:39 AM,6:32 PM
20-06,4:45 AM,11:39 AM,6:32 PM
21-06,4:46 AM,11:39 AM,6:33 PM
22-06,4:46 AM,11:39 AM,6:33 PM
23-06,4:46 AM,11:40 AM,6:33 PM
24-06,4:46 AM,11:40 AM,6:33 PM
25-06,4:47 AM,11:40 AM,6:33 PM
26-06,4:47 AM,11:40 AM,6:34 PM
27-06,4:47 AM,11:40 AM,6:34 PM
28-06,4:47 AM,11:41 AM,6:34 PM
29-06,4:48 AM,11:41 AM,6:34 PM
30-06,4:48 AM,11:41 AM,6:34 PM
01-07,4:48 AM,11:41 AM,6:34 PM
02-07,4:49 AM,11:41 AM,6:34 PM
03-07,4:49 AM,11:42 AM,6:34 PM
04-07,4:50 AM,11:42 AM,6:34 PM
05-07,4:50 AM,11:42 AM,6:34 PM
06-07,4:50 AM,11:42 AM,6:34 PM
07-07,4:51 AM,11:42 AM,6:34 PM
08-07,4:51 AM,11:42 AM,6:34 PM
09-07,4:52 AM,11:43 AM,6:34 PM
10-07,4:52 AM,11:43 AM,6:34 PM
11-07,4:53 AM,11:43 AM,6:33 PM
12-07,4:53 AM,11:43 AM,6:33 PM
13-07,4:53 AM,11:43 AM,6:33 PM
14-07,4:54 AM,11:43 AM,6:33 PM
15-07,4:54 AM,11:43 AM,6:33 PM
16-07,4:55 AM,11:44 AM,6:32 PM
17-07,4:55 AM,11:44 AM,6:32 PM
18-07,4:56 AM,11:44 AM,6:32 PM
19-07,4:56 AM,11:44 AM,6:31 PM
20-07,4:57 AM,11:44 AM,6:31 PM
21-07,4:57 AM,11:44 AM,6:31 PM
22-07,4:58 AM,11:44 AM,6:30 PM
23-07,4:58 AM,11:44 AM,6:30 PM
24-07,4:59 AM,11:44 AM,6:29 PM
25-07,4:59 AM,11:44 AM,6:29 PM
26-07,5:00 AM,11:44 AM,6:29 PM
27-07,5:00 AM,11:44 AM,6:28 PM
28-07,5:01 AM,11:44 AM,6:27 PM
29-07,5:02 AM,11:44 AM,6:27 PM
30-07,5:02 AM,11:44 AM,6:26 PM
31-07,5:03 AM,11:44 AM,6:26 PM
01-08,5:03 AM,11:44 AM,6:25 PM
02-08,5:04 AM,11:44 AM,6:25 PM
03-08,5:04 AM,11:44 AM,6:24 PM
04-08,5:05 AM,11:44 AM,6:23 PM
05-08,5:05 AM,11:44 AM,6:23 PM
06-08,5:06 AM,11:44 AM,6:22 PM
07-08,5:06 AM,11:44 AM,6:21 PM
08-08,5:07 AM,11:44 AM,6:21 PM
09-08,5:07 AM,11:43 AM,6:20 PM
10-08,5:08 AM,11:43 AM,6:19 PM
11-08,5:08 AM,11:43 AM,6:18 PM
12-08,5:09 AM,11:43 AM,6:17 PM
13-08,5:09 AM,11:43 AM,6:17 PM
14-08,5:10 AM,11:43 AM,6:16 PM
15-08,5:10 AM,11:42 AM,6:15 PM
16-08,5:10 AM,11:42 AM,6:14 PM
17-08,5:11 AM,11:42 AM,6:13 PM
18-08,5:11 AM,11:42 AM,6:12 PM
19-08,5:12 AM,11:42 AM,6:11 PM
20-08,5:12 AM,11:41 AM,6:10 PM
21-08,5:13 AM,11:41 AM,6:10 PM
22-08,5:13 AM,11:41 AM,6:09 PM
23-08,5:14 AM,11:41 AM,6:08 PM
24-08,5:14 AM,11:40 AM,6:07 PM
25-08,5:14 AM,11:40 AM,6:06 PM
26-08,5:15 AM,11:40 AM,6:05 PM
27-08,5:15 AM,11:39 AM,6:04 PM
28-08,5:16 AM,11:39 AM,6:03 PM
29-08,5:16 AM,11:39 AM,6:02 PM
30-08,5:17 AM,11:39 AM,6:01 PM
31-08,5:17 AM,11:38 AM,5:59 PM
01-09,5:17 AM,11:38 AM,5:58 PM
02-09,5:18 AM,11:38 AM,5:57 PM
03-09,5:18 AM,11:37 AM,5:56 PM
04-09,5:19 AM,11:37 AM,5:55 PM
05-09,5:19 AM,11:37 AM,5:54 PM
06-09,5:19 AM,11:36 AM,5:53 PM
07-09,5:20 AM,11:36 AM,5:52 PM
08-09,5:20 AM,11:35 AM,5:51 PM
09-09,5:21 AM,11:35 AM,5:50 PM
10-09,5:21 AM,11:35 AM,5:49 PM
11-09,5:21 AM,11:34 AM,5:47 PM
12-09,5:22 AM,11:34 AM,5:46 PM
13-09,5:22 AM,11:34 AM,5:45 PM
14-09,5:22 AM,11:33 AM,5:44 PM
15-09,5:23 AM,11:33 AM,5:43 PM
16-09,5:23 AM,11:33 AM,5:42 PM
17-09,5:24 AM,11:32 AM,5:41 PM
18-09,5:24 AM,11:32 AM,5:39 PM
19-09,5:24 AM,11:31 AM,5:38 PM
20-09,5:25 AM,11:31 AM,5:37 PM
21-09,5:25 AM,11:31 AM,5:36 PM
22-09,5:26 AM,11:30 AM,5:35 PM
23-09,5:26 AM,11:30 AM,5:34 PM
24-09,5:26 AM,11:30 AM,5:33 PM
25-09,5:27 AM,11:29 AM,5:32 PM
26-09,5:27 AM,11:29 AM,5:30 PM
27-09,5:28 AM,11:28 AM,5:29 PM
28-09,5:28 AM,11:28 AM,5:28 PM
29-09,5:28 AM,11:28 AM,5:27 PM
30-09,5:29 AM,11:27 AM,5:26 PM
01-10,5:29 AM,11:27 AM,5:25 PM
02-10,5:30 AM,11:27 AM,5:24 PM
03-10,5:30 AM,11:26 AM,5:23 PM
04-10,5:31 AM,11:26 AM,5:22 PM
05-10,5:31 AM,11:26 AM,5:21 PM
06-10,5:32 AM,11:25 AM,5:19 PM
07-10,5:32 AM,11:25 AM,5:18 PM
08-10,5:32 AM,11:25 AM,5:17 PM
09-10,5:33 AM,11:25 AM,5:16 PM
10-10,5:33 AM,11:24 AM,5:15 PM
11-10,5:34 AM,11:24 AM,5:14 PM
12-10,5:34 AM,11:24 AM,5:13 PM
13-10,5:35 AM,11:24 AM,5:12 PM
14-10,5:35 AM,11:23 AM,5:11 PM
15-10,5:36 AM,11:23 AM,5:10 PM
16-10,5:37 AM,11:23 AM,5:09 PM
17-10,5:37 AM,11:23 AM,5:08 PM
18-10,5:38 AM,11:23 AM,5:08 PM
19-10,5:38 AM,11:22 AM,5:07 PM
20-10,5:39 AM,11:22 AM,5:06 PM
21-10,5:39 AM,11:22 AM,5:05 PM
22-10,5:40 AM,11:22 AM,5:04 PM
23-10,5:41 AM,11:22 AM,5:03 PM
24-10,5:41 AM,11:22 AM,5:02 PM
25-10,5:42 AM,11:22 AM,5:01 PM
26-10,5:42 AM,11:22 AM,5:01 PM
27-10,5:43 AM,11:21 AM,5:00 PM
28-10,5:44 AM,11:21 AM,4:59 PM
29-10,5:44 AM,11:21 AM,4:58 PM
30-10,5:45 AM,11:21 AM,4:58 PM
31-10,5:46 AM,11:21 AM,4:57 PM
01-11,5:46 AM,11:21 AM,4:56 PM
02-11,5:47 AM,11:21 AM,4:56 PM
03-11,5:48 AM,11:21 AM,4:55 PM
04-11,5:48 AM,11:21 AM,4:54 PM
05-11,5:49 AM,11:21 AM,4:54 PM
06-11,5:50 AM,11:21 AM,4:53 PM
07-11,5:50 AM,11:22 AM,4:53 PM
08-11,5:51 AM,11:22 AM,4:52 PM
09-11,5:52 AM,11:22 AM,4:52 PM
10-11,5:53 AM,11:22 AM,4:51 PM
11-11,5:53 AM,11:22 AM,4:51 PM
12-11,5:54 AM,11:22 AM,4:50 PM
13-11,5:55 AM,11:22 AM,4:50 PM
14-11,5:56 AM,11:22 AM,4:49 PM
15-11,5:56 AM,11:23 AM,4:49 PM
16-11,5:57 AM,11:23 AM,4:48 PM
17-11,5:58 AM,11:23 AM,4:48 PM
18-11,5:59 AM,11:23 AM,4:48 PM
19-11,5:59 AM,11:23 AM,4:48 PM
20-11,6:00 AM,11:24 AM,4:47 PM
21-11,6:01 AM,11:24 AM,4:47 PM
22-11,6:02 AM,11:24 AM,4:47 PM
23-11,6:02 AM,11:24 AM,4:47 PM
24-11,6:03 AM,11:25 AM,4:46 PM
25-11,6:04 AM,11:25 AM,4:46 PM
26-11,6:05 AM,11:25 AM,4:46 PM
27-11,6:05 AM,11:26 AM,4:46 PM
28-11,6:06 AM,11:26 AM,4:46 PM
29-11,6:07 AM,11:26 AM,4:46 PM
30-11,6:08 AM,11:27 AM,4:46 PM
01-12,6:08 AM,11:27 AM,4:46 PM
02-12,6:09 AM,11:27 AM,4:46 PM
03-12,6:10 AM,11:28 AM,4:46 PM
04-12,6:10 AM,11:28 AM,4:46 PM
05-12,6:11 AM,11:29 AM,4:46 PM
06-12,6:12 AM,11:29 AM,4:46 PM
07-12,6:13 AM,11:29 AM,4:46 PM
08-12,6:13 AM,11:30 AM,4:46 PM
09-12,6:14 AM,11:30 AM,4:47 PM
10-12,6:15 AM,11:31 AM,4:47 PM
11-12,6:15 AM,11:31 AM,4:47 PM
12-12,6:16 AM,11:32 AM,4:47 PM
13-12,6:16 AM,11:32 AM,4:48 PM
14-12,6:17 AM,11:32 AM,4:48 PM
15-12,6:18 AM,11:33 AM,4:48 PM
16-12,6:18 AM,11:33 AM,4:49 PM
17-12,6:19 AM,11:34 AM,4:49 PM
18-12,6:19 AM,11:34 AM,4:49 PM
19-12,6:20 AM,11:35 AM,4:50 PM
20-12,6:20 AM,11:35 AM,4:50 PM
21-12,6:21 AM,11:36 AM,4:51 PM
22-12,6:21 AM,11:36 AM,4:51 PM
23-12,6:22 AM,11:37 AM,4:51 PM
24-12,6:22 AM,11:37 AM,4:52 PM
25-12,6:23 AM,11:38 AM,4:52 PM
26-12,6:23 AM,11:38 AM,4:53 PM
27-12,6:23 AM,11:38 AM,4:54 PM
28-12,6:24 AM,11:39 AM,4:54 PM
29-12,6:24 AM,11:39 AM,4:55 PM
30-12,6:24 AM,11:40 AM,4:55 PM
31-12,6:25 AM,11:40 AM,4:56 PM